;title;job_link;days;price;average_bid;bid;payment_verified;description;job_tag
10;Enhance WordPress Site for Business;/projects/php/enhance-wordpress-site-for-business;6 days left;$501Avg Bid;True;940 bids;True;"I am looking for a wordpress/Api developer to upgrade and integrate features into my WordPress website for my existing website. the website is an event platform

Please find all the details in this folder: 
 
the Goals are as follows:
- create tickets form that create tickets when an event is created. ()
 - stripe connect integration for payouts to be made between platform and organiser. 
- organiser dashboard, to manage sales, payouts and events.()

Please find all the details in this folder: 

I am planning for the work to commence on in early November.";['API', 'HTML', 'JavaScript', 'PHP', 'Stripe', 'Website Design', 'WordPress']
11;Software Developer for Co-Founder & CTO Role;/projects/php/software-developer-for-founder-cto;6 days left;$436Avg Bid;True;66 bids;False;"Looking for an Software Developer to Join as Co-Founder & CTO for Engineering Tech Company based at Chennai.

Are you an Al/ML/Mobile App/ software developer who wants to build something from the ground up? Here's your chance to become a Co-Founder and Chief Technology Officer (CTO) of an upcoming  Engineering Technology startup - where you'll lead tech development, build the team, and own equity in the company.

We're forming a new venture focused on innovative Engineering & Technology solutions. The person joining will be responsible for company's product development, and team building. You'll take a leadership role in shaping both the company's technology and its vision.

Role: Co-Founder / CTO

Equity Offered: open

Responsibilities:

Handle compan...";['Leadership Development', 'Machine Learning (ML)', 'Mobile App Development', 'PHP', 'Product Development', 'Software Architecture', 'Software Development', 'Startup Consulting', 'Technology Consulting', 'Website Design']
12;AI Fitness App Development;/projects/ai-model-development/fitness-app-development;6 days left;$748Avg Bid;True;26 bids;False;"I need a mobile-first fitness AI app that does all the talking and thinking for the user. From the moment someone signs up, the system should analyse their physique, rate it, and instantly generate a fully personalised workout split and diet plan. Every recommendation, reminder, and progress insight must be produced by AI—no static templates.

Here’s what I’m looking for right now:

• Physique rating engine  
  – Accepts user photos or key body metrics and returns an easy-to-understand score.  
  – Uses computer-vision or image-analysis models (TensorFlow, PyTorch, or a service you suggest).  

• Personalised workout generator  
  – Builds goal-based routines that adapt as progress is logged.  
  – Sends daily coaching messages and automa...";['AI Chatbot Development', 'AI Model Development', 'Cocoa', 'Computer Vision', 'iPhone', 'Mobile App Development', 'Objective C', 'React Native']
13;RayWing Hand Surfboard Prototypes Creation;/projects/3d-cad/raywing-hand-surfboard-prototypes;6 days left;$64Avg Bid;True;33 bids;True;"Create 4 Functional Prototypes from CAD Files – “RayWing” Hand Surfboard
Overview
I am looking for an experienced product prototype manufacturer or engineer to produce four high-quality prototypes of a new product called the RayWing — a compact, ergonomic hand surfboard designed for body surfing and beach play.
The prototypes will be based directly on existing CAD files, which will be provided to shortlisted applicants. The final product should be lightweight, durable, and buoyant, with smooth contours and comfortable hand placement.

Key Details
Quantity: 4 prototypes
Files Provided: 3D CAD files (STL/STEP format)
Purpose: Testing for buoyancy, hand fit, performance, and visual appeal before tooling and full production
Size: Similar to a handplane / small bodyboard...";['3D CAD', '3D Modelling', '3D Printing', 'CAD/CAM', 'CNC', 'Product Design', 'Prototyping', 'Solidworks']
14;Sleek Lead-Gen Landing Page;/projects/web-design/sleek-lead-gen-landing-page;6 days left;$92Avg Bid;True;44 bids;True;"I’m looking for a developer-designer who can reproduce the clean, high-impact feel of  and turn it into a single landing page focused purely on lead generation. There are no fixed brand guidelines holding you back, so you’re free to choose colours, typefaces and layout ideas that complement the reference site’s minimal, modern style while keeping things original.

Core requirements  
• A prominent hero section that instantly explains the offer and guides visitors downward.  
• Clear call-to-action buttons placed at strategic points that scroll or jump to a contact form.  
• A compact, responsive contact form (name, email, message) that sends submissions to an email address I’ll supply and shows a “thank-you” state on success.  
• Full...";['Animation', 'CSS', 'HTML', 'JavaScript', 'PHP', 'UI / User Interface', 'UX / User Experience', 'Web Design', 'Web Development', 'Website Design']
15;Children’s Sci-Fi Adventure Story Draft;/projects/copywriting/children-sci-adventure-story-draft;6 days left;$256Avg Bid;True;5 bids;False;"I’m developing a light-hearted science-fiction adventure for kids that follows Nathan and his clever robot side-kick, D’Ergoran, as they square off against the mischievous PouzPouz. I need a talented writer to create the very first draft so I can gauge tone, pace, and overall appeal before investing in full production.

Here’s what I’d like delivered:
• A concise plot outline covering beginning, middle, and end (roughly one page).  
• Brief character bios for Nathan, D’Ergoran, the PouzPouz, and any key supporting figures.  
• An initial manuscript of 3,000–5,000 words (about three short chapters) that showcases the core conflict, introduces the world, and ends on a clear hook for future expansion.

Please keep language age-appropriate (7&...";['Book Writing', 'Content Writing', 'Copywriting', 'Creative Writing', 'Editing', 'Fiction', 'Ghostwriting', 'Writing Tutoring']
16;Minimalist Brand Logo Design;/projects/vector-design/minimalist-brand-logo-design-39914894;6 days left;$14Avg Bid;True;24 bids;True;"I’m ready to launch my brand and need a clean, memorable logo created as soon as possible. The look I’m after is distinctly minimalist, but I still want it to burst with bright, engaging colors rather than muted tones.

Scope is straightforward:
• One primary logo concept refined to final approval  
• Source files delivered in vector format (AI/SVG) plus PNG and JPG exports  
• A quick reference showing the exact color values you used

I’ll provide brand details the moment we start so you can move fast, and I’m open to a couple of rapid revisions to get everything just right. If you’re comfortable turning around a sharp, colorful minimalist mark on a tight timeline, let’s connect today.";['Adobe Illustrator', 'Adobe Photoshop', 'Branding', 'Creative Design', 'Graphic Design', 'Illustrator', 'Logo Design', 'Photoshop', 'Vector Design']
17;Curate Abstract Watercolor Paintings;/projects/art-consulting/curate-abstract-watercolor-paintings;6 days left;$302Avg Bid;True;32 bids;False;"We are seeking a talented and creative Art Curator with a strong eye for detail and aesthetics to help assemble a captivating collection of abstract watercolor paintings. The ideal candidate understands color harmony, emotional expression through fluid forms, and the modern trends of abstract art. Your role will be to research, select, and organize a visually cohesive set of watercolor pieces that can appeal to contemporary art lovers, collectors, and interior décor enthusiasts.

Responsibilities:
	•	Curate a collection of abstract watercolor artworks that reflect a unified theme, tone, or experience.
	•	Research emerging and established watercolor artists whose styles align with our creative direction.
	•	Select pieces that demonstrate strong composition, balance, un...";['Art Consulting', 'Art Installation', 'Article Writing', 'Caricature & Cartoons', 'Illustration', 'Interior Design', 'Visual Arts', 'Watercolor Painting']
18;Dynamic Travel Booking Platform;/projects/api-integration/dynamic-travel-booking-platform;6 days left;$288Avg Bid;True;48 bids;False;"I’m building a travel website whose core purpose is a seamless booking system. The site will let visitors search, choose, and pay for two main services:  
• Activity bookings (tours, events, experiences)  
• Ferry tickets pulled in through a live ferry-booking API  

To make that happen I need:  
• End-to-end integration with trusted payment gateways so customers can check out securely.  
• Direct connections to both ferry booking APIs and popular activity-booking platforms so inventory, pricing, and availability stay in sync in real time.  

Scope of work  
1. Craft a responsive, modern UI that works on mobile and desktop.  
2. Build a functional prototype that includes searching, filtering, real-time availability, cart, and checkout.  
3. Create an intuitive adm...";['API Integration', 'HTML', 'JavaScript', 'Laravel', 'Next.js', 'PHP', 'Web Development', 'Website Design']
19;Educational questions and answer Data Extraction/scrapping;/projects/data-scraping/educational-questions-answer-data;6 days left;$131Avg Bid;True;86 bids;True;Your task is to scrape every question, its answer choices, the correct answer, any explanations, and all linked media—images and videos—then package everything neatly in categorized files;['Data Collection', 'Data Extraction', 'Data Management', 'Data Mining', 'Data Scraping', 'Python', 'Web Scraping']
20;No-Code Shopify D2C Store;/projects/web-design/code-shopify-store;6 days left;$99Avg Bid;True;27 bids;False;"I need a Shopify expert who can take a completely no-code approach and build a high-converting D2C storefront for my line of apparel products. The entire build should be geared toward increasing brand's perception, customer interaction, and sales, so every design decision—from theme choice to checkout flow—has to support that goal.

On each product page I want detailed, easy-to-scan SEO optimized specifications presented in a way that matches our brand voice and visual identity. I’ll provide the brand guidelines, but I’ll count on you to shape the content, creatives, and page layout so they feel cohesive and help shoppers understand the benefits quickly. A friction-free user experience is critical: clean navigation, fast loading on mobile, and a streamlined che...";['Branding', 'Email Marketing', 'HTML', 'SEO', 'Shopify', 'Shopify Templates', 'Web Design', 'Website Design']
21;WordPress Inmate Food Store Website;/projects/html/wordpress-inmate-food-store-website-39914863;6 days left;$17 / hrAvg Bid;True;40 bids;False;"I’m launching an online food store for friends and families who send care-packages to inmates, and I need a WordPress build that is ready for real-world use—fast.

Core build  
• Set up WordPress with a clean, mobile-first theme that makes our 500-650 products easy to browse, filter, and add to cart.  
• Install and configure WooCommerce (or a comparable solution) so I can import the full catalogue the moment the final SKU list is ready.  
• Create a custom integration that lets shoppers enter an inmate DIN# (ID), queries the state database we specify, and automatically fills the correct facility shipping address. “Search using inmate DIN# (ID)” is mandatory; the system must refuse checkout if the lookup fails.  
• Enable payment methods: Credit/...";['HTML', 'Inventory Management', 'Mobile App Development', 'Payment Gateway Integration', 'Payment Processing', 'PHP', 'Web Development', 'Website Design', 'WooCommerce', 'WordPress']
22;Vintage Album Cover Edit;/projects/adobe-photoshop/vintage-album-cover-edit;6 days left;$7 - $21;False;20 bids;False;"I’m preparing to release a new album and need a single front-cover design that feels unmistakably vintage. You’ll start from the Band/Artist photo I provide, build the layout around a close-up of my face, and apply era-appropriate color grading, grain, and subtle texture so it looks like it could have come off a well-loved vinyl sleeve.  

Scope is intentionally lean: one polished concept plus a light round of tweaks. Final deliverables should include:
• Print-ready square cover (3000 × 3000 px, 300 dpi, JPEG/PNG)  
• The layered source file (PSD or AI) for future edits  

If you’re comfortable creating authentic retro looks and can turn this around quickly, I’d love to see your portfolio and get this rolling right away.";['Adobe Illustrator', 'Adobe Photoshop', 'Album Design', 'Creative Design', 'Digital Art', 'Graphic Design', 'Image Processing', 'Photo Editing', 'Photoshop', 'Print Design']
23;Remote Sales Agent for Travel Agency;/projects/data-entry/remote-sales-agent-for-travel-39914877;6 days left;$177Avg Bid;True;4 bids;False;"Job Title: Travel Sales Closer (Leads Provided | Commission + Fixed Pay)

Budget: ₹10,000 – ₹20,000 INR (based on experience 
Job Type: Freelance / Contract
Location: Remote (Work From Home)

About the Role

We are a fast-growing travel agency running Google Ads and Meta Ads to generate high-quality leads for our tour packages (domestic and international). We’re now looking for an experienced Sales Closer who can convert these inbound leads into confirmed bookings.

If you have a background in travel sales, excellent communication skills, and love closing deals — this is for you.

What You’ll Do

Contact warm leads who filled out our tour inquiry forms (no cold calling).

Understand their travel preferences, budget, and expectations.

Present the best package option...";['CRM', 'Customer Service', 'Data Entry', 'Google Ads', 'Lead Generation', 'Leads', 'Sales', 'Telemarketing']
24;BetWinner Tanzanian Influencer Campaign;/projects/influencer-marketing/betwinner-tanzanian-influencer-campaign;6 days left;$150Avg Bid;True;4 bids;False;"I’m ready to onboard Tanzanian–based influencers or agencies who can drive new registrations and betting activity for BetWinner through Instagram and Facebook. Whether your audience leans toward sports, lifestyle, or entertainment, what matters most is your proven ability to spark real engagement.

Here’s what the collaboration looks like:

• Deliverables – three Instagram Stories or Facebook Reels (or a mix) that feature the tracking link and our unique promo-code. I’ll supply the scripts, key messages, and creatives; you bring the personality and reach.  
• Timeline – once we approve your draft content, you can publish right away.  
• Payment – 50 % in USDT (TRC20 or ERC20) after draft approval, and the remaining 50 % immediately a...";['Content Creation', 'Facebook Marketing', 'Influencer Marketing', 'Instagram Marketing', 'Internet Marketing', 'Social Media Management', 'Social Media Marketing', 'Twitter']
25;Secure TMS Guest Posts;/projects/seo/secure-tms-guest-posts;6 days left;$33Avg Bid;True;9 bids;False;"I’m looking for a freelancer who can help me with guest posting and backlink creation for websites in the Transport Management Software (TMS), logistics, and fleet management niche.

The goal is to build high-quality, niche-relevant backlinks and publish guest posts on authoritative sites to improve SEO and online visibility.

Requirements:

Experience in SEO outreach or link building
Access to relevant websites or guest post opportunities
Ability to write or arrange quality, original content
White-hat SEO practices only

If you have experience with logistics, transport, or SaaS-related guest posting, this project is perfect for you.
Learn more about our brand here:";['Article Writing', 'Blog', 'Blog Writing', 'Content Writing', 'Digital Marketing', 'Logistics', 'SEO']
26;Seeking Veteran Delivery Management Mentor for Senior Professional Transitioning from Project to Delivery Leadership;/projects/strategic-planning/seeking-veteran-delivery-management;6 days left;$25 / hrAvg Bid;True;1 bids;True;"Project Description:
I am a senior project/program manager with 15 years of experience seeking a seasoned delivery management mentor to guide my transition into strategic delivery leadership.

My Background:

· Currently managing 15+ project portfolios
· Strong project/program management foundation
· Recent promotion to delivery management role
· Seeking to bridge the gap between tactical execution and strategic delivery leadership

What I Need from a Mentor:

1. Strategic Frameworks: How to shift from project delivery to business outcome ownership
2. P&L Management: Financial acumen for delivery leadership
3. Stakeholder Strategy: Executive-level influence and expectation management
4. Team Leadership: Scaling impact through other managers vs direct executi...";['Business Coaching', 'Business Strategy', 'Career Consulting', 'Executive Coaching', 'Leadership Development', 'Management', 'Management Consulting', 'Strategic Planning']
27;Remote Sales Agent for Travel Agency;/projects/data-entry/remote-sales-agent-for-travel-39914868;6 days left;$173Avg Bid;True;3 bids;False;"Job Title: Travel Sales Closer (Leads Provided | Commission + Fixed Pay)

Budget: ₹10,000 – ₹20,000 INR (based on experience 
Job Type: Freelance / Contract
Location: Remote (Work From Home)

About the Role

We are a fast-growing travel agency running Google Ads and Meta Ads to generate high-quality leads for our tour packages (domestic and international). We’re now looking for an experienced Sales Closer who can convert these inbound leads into confirmed bookings.

If you have a background in travel sales, excellent communication skills, and love closing deals — this is for you.

What You’ll Do

Contact warm leads who filled out our tour inquiry forms (no cold calling).

Understand their travel preferences, budget, and expectations.

Present the best package option...";['CRM', 'Customer Service', 'Data Entry', 'Google Ads', 'Lead Generation', 'Leads', 'Sales', 'Telemarketing']
28;Business Development Executive Gaming & Ecommerce;/projects/business-development/business-development-executive-gaming;6 days left;$243Avg Bid;True;14 bids;False;"What You'll Do: 






• Drive more downloads for our existing mobile/PC games. 
• Identify and connect with potential clients who want to develop new games with us. 
• Identify and approach potential clients who require ecommerce website development. 
• Build and maintain strong relationships with companies, startups, and individuals in the gaming space. 
• Generate leads, close deals, and bring consistent business opportunities. 
• Generate leads through online platforms, networking, and direct outreach. 
• Pitch our ecommerce solutions and services effectively to clients. 
• Build and maintain strong client relationships to drive long-term business growth. 
• Meet sales targets and deliver measurable results. 

Requirements: 

• Pro...";['Business Development', 'Business Strategy', 'Digital Marketing', 'Field Sales Management', 'Lead Generation', 'Mobile App Development', 'Sales']
29;Modern Residential Floor Plan Design;/projects/2d-drafting/modern-residential-floor-plan-design;6 days left;$11 / hrAvg Bid;True;7 bids;False;"I already have the rough sketches and basic measurements for a new home; now I need them turned into a polished, build-ready floor plan. This is strictly a residential project and the layout must accommodate bedrooms, bathrooms, a kitchen, dining room, living room, and a lounge, all tied together with a clean, modern aesthetic.

Your task is to translate my raw plans into an accurately dimensioned drawing set that my architect and contractor can work from. Please provide:

• A fully annotated floor plan in DWG (or compatible) format and a PDF presentation copy  
• Clear room labels and furniture suggestions to verify circulation and scale  
• At least one revision round to refine the layout after my feedback  

If your portfolio shows modern residential work—especially...";['2D Drafting', 'AutoCAD', 'Building Architecture', 'Building Design', 'Building Information Modeling', 'CAD/CAM', 'Floor Plan', 'Interior Design']
30;ATmega328P Pump Controller Firmware;/projects/embedded-systems/atmega-pump-controller-firmware;6 days left;$65Avg Bid;True;4 bids;False;"Our prototype is already built around an ATmega328P, a 6-digit SSD LED display, a 9-key membrane keyboard, two pump-drive outputs, one pressure-sensor input and two status LEDs. I now need a concise, well-commented firmware that ties all of this together.

Core behaviour  
• Read the analog pressure sensor, scale and show the resulting value on the six-digit display (numerical only).  
• Accept user-defined settings from the 9-key keyboard and store them in EEPROM so they survive power-cycling.  
• Drive the two pump-control outputs whenever the sensor reading crosses the relevant set-points or when the operator explicitly activates them from the keyboard.  
• Blink or steady-light the two indicator LEDs to signal normal operation, alarm or error (exact patterns are ope...";['Arduino', 'C Programming', 'C++ Programming', 'Debugging', 'Electronics', 'Embedded Systems', 'Microcontroller', 'Prototyping']
31;Blue-Collar HR Recruiter Needed – PAN India;/projects/recruitment/blue-collar-recruiter-needed-pan;6 days left;$17 - $142;False;0 bids;False;"Freelance HR Recruiter – Manpower Sourcing (Field Recruitment – PAN India)

We are seeking an experienced Freelance HR Recruiter who specializes in blue-collar and semi-skilled manpower hiring across India’s rural and Tier 2–4 regions.
Our company, Balaji Infrastructure, provides O&M, EPC, and manpower services in the renewable energy and industrial sectors (solar, wind, fabrication, and maintenance).

Your main task will be to find, screen, and recommend qualified candidates for the Regional Outreach Executive (Field Recruitment) role — individuals who can connect with ITIs, diploma colleges, and local manpower suppliers in UP, Bihar, Jharkhand, Odisha, and West Bengal.

Key Responsibilities:

Identify and shortlist candidates for the Regional Outreach Ex...";['Human Resources', 'Recruitment', 'Talent Acquisition', 'Workforce Management']
32;Upload-Ready KDP Cover Design;/projects/adobe-illustrator/upload-ready-kdp-cover-design;6 days left;$84Avg Bid;True;111 bids;True;"I’m preparing to launch a non-fiction title on Kindle Direct Publishing and I need a cover that sails straight through KDP’s pre-flight checks. The tone of the book is informative with a light touch of humor, so the design should feel authoritative yet approachable. I’m drawn to strong photographic imagery rather than illustration or heavy graphics, and I’d like the photo to work seamlessly with clean, modern typography.

Once I confirm the exact trim size and page count with you, I’ll supply the KDP template and back-cover copy. From there I’d like two initial concepts, followed by up to two rounds of tweaks on the option I choose.

Deliverables
• Print-ready PDF (front, spine, back) built on the KDP template, including bleed, correct spine width, ...";['Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Book Cover Design', 'Graphic Design', 'Illustrator', 'Photoshop', 'Print Design']
33;Zoho CRM Setup & Automation;/projects/zoho-crm/zoho-crm-setup-automation-39914861;6 days left;$11 / hrAvg Bid;True;26 bids;True;"I’m moving our sales team onto Zoho CRM and need the environment configured for immediate, everyday use. Please set up the Leads, Contacts and Deals modules so they mirror our current pipeline, adding any custom fields required for smooth data capture.

Beyond the core modules, I want smart processes in place: custom workflows that auto-assign new leads, trigger follow-up emails, and advance Deals with timely reminders; plus broader automation to keep the data clean and the team on task. If a bit of Deluge scripting makes the system flow better, feel free to use it.

Access must be organised into three clear tiers—Admin access, Standard user access and Limited access—each with sensible roles, profiles and sharing rules.

Deliverables
• Full configuration of Leads, Co...";['Automation', 'CRM', 'Data Management', 'PHP', 'Sales Management', 'Salesforce.com', 'Zoho', 'Zoho CRM']
34;Reels cut | videos editing;/projects/video-editing/reels-cut-videos-editing;6 days left;$19Avg Bid;True;19 bids;False;Brand advertising, reels for marketing.;['3D Animation', 'Advertising', 'Animation', 'Brand Management', 'Brand Marketing', 'Graphic Design', 'Social Media Marketing', 'Video Ads', 'Video Editing', 'Video Production']
35;Chauffeur Booking Website Build;/projects/php/chauffeur-booking-website-build;6 days left;$258Avg Bid;True;62 bids;False;"I’m launching a premium chauffeur service and need a clean, professional website whose core purpose is effortless booking. The entire site should revolve around a smooth reservation flow that shows real-time vehicle availability, confirms the ride instantly, and drops every new job straight into an integrated calendar so my team never misses a pickup.

Here’s what I expect when the work is complete:

• Fully responsive website with a modern, brand-appropriate design  
• Booking engine that:  
  – Displays live availability without page refreshes  
  – Generates instant confirmation emails (and ideally SMS) to client and admin  
  – Syncs new and updated reservations with Google, Outlook, or Apple Calendar  
• Admin area where I can adjust fleet ...";['CMS', 'Graphic Design', 'HTML', 'Laravel', 'PHP', 'Vue.js', 'Web Development']
36;Motocross Ads & Apparel Designs;/projects/adobe-photoshop/motocross-ads-apparel-designs;6 days left;$115Avg Bid;True;103 bids;True;"I’m building out noxlinemx, a brand deeply rooted in motocross culture, and I need eye-catching creative fast. The immediate task is two-fold:  

1. Social media ads – static or simple animated images sized for Instagram and Facebook feeds/stories.  
2. Clothing artwork – bold graphics for tees and hoodies that echo the look and feel of the ads.

Ask me for the sample logos and you’ll get our exact brand colors to weave into every piece. I’m after high-energy visuals: dirt, speed, and fearless typography that speaks to riders.

Deliverables:
• 3–5 polished ad creatives (layered PSD/AI + ready-to-post PNG/JPEG)  
• 2–3 apparel mock-ups showing front and back placement (vector files + mock-up JPGs)

Turnaround needs to be ASAP. Files must s...";['Adobe Illustrator', 'Adobe Photoshop', 'Animation', 'Graphic Design', 'Logo Design', 'Photoshop', 'Photoshop Design', 'Social Media Marketing']
