,title,job_link,days,price,average_bid,bid,payment_verified,description,job_tag
10,Repair Two Python Scrapers,/projects/beautifulsoup/repair-two-python-scrapers,6 days left,$28Avg Bid,True,20 bids,True,"I have two small Python-based screen-scraping scripts that target county records sites and should pull back plain text data. The programs still launch and reach their respective pages without crashing, yet both come back empty—no records, no errors. I need someone to step in, pinpoint why the scrapers no longer capture the data, and update the code so each script reliably returns the expected text output again.

You’ll be working with existing Python code that was originally built around libraries such as Requests, BeautifulSoup, and a bit of Selenium. The fixes may involve adjusting selectors, handling new page-load behaviour, or adding smarter waits, but the goal is simple: make the two scrapers functional, cleanly returning the data just as they did before.

Deliverables
&bu...","['BeautifulSoup', 'Data Extraction', 'Data Processing', 'Python', 'Selenium', 'Web Scraping']"
11,Business Video Transcription & Subtitles,/projects/content-writing/business-video-transcription-subtitles-39920709,6 days left,$20 / hrAvg Bid,True,19 bids,False,"I need a precise, word-for-word transcript of this YouTube video:  


Please watch the entire clip and deliver:  
• A clean, well-punctuated text transcript (Google Doc or Word)  
• A perfectly timed SRT subtitle file that matches the spoken content 

To confirm you have viewed the material, include the answer to this in your proposal:  
QUESTION: “According to the video, how many weeks is the guaranteed revenue contract?”  

Bids or Proposals without the correct answer will be ignored.","['Content Writing', 'Data Entry', 'English (UK) Translator', 'English (US) Translator', 'Subtitles & Captions', 'Transcription', 'Video Editing', 'Video Production']"
12,"(LatinAmerica  - Philipines) Stream Operator - Work from home 20h/week, $500-$1000+/montly -- 2",/projects/troubleshooting/stream-operator-work-from-home,6 days left,$10 / hrAvg Bid,True,17 bids,False,"We need to hire 3 Freelancers

Opportunities for career advancement

Hourly Rate: $6.25 - $10 or more. Consisting of fixed salary + performance.

Set-up: Work from home, 20h/week.

Responsibilities

- Provide information to and direct the streamer (live script)

- Moderate the chat

- Uphold a professional and respectful attitude

- Ensuring technical functionality

Requirements

- High social battery, easy-going

- Excellent written and spoken English (will be tested)

- Exceptional social skills

- Strong Wi-Fi connection and suitable laptop/PC setup

We’re rapidly growing from the current team of 65 to a team of 250. With that come other opportunities within the company like management or affiliates.

For now we are currently looking for people from LATAM or Philipines","['Chat Operation', 'Copywriting', 'Customer Support', 'Helpdesk', 'Transcription', 'Troubleshooting']"
13,Electrician Meeting Coordination,/projects/technical-writing/electrician-meeting-coordination,6 days left,$17 - $141,False,0 bids,False,"I need to organize a meeting between electricians. The meeting aims to discuss a new project. 

Key requirements:
- Use of simple Hindi language for communication
- Clear presentation of product details, company profile, and its qualities
- Emphasis on product features and specifications

Ideal Skills and Experience:
- Proficiency in Hindi
- Strong communication skills
- Ability to clearly articulate technical product details","['Content Writing', 'Customer Service', 'Documentation', 'Event Planning', 'Product Management', 'Product Marketing', 'Project Management', 'Public Speaking', 'Technical Writing', 'Training']"
14,Minimalist Clothing Brand Logo,/projects/adobe-illustrator/minimalist-clothing-brand-logo,6 days left,$47Avg Bid,True,11 bids,False,"I’m starting a clothing line and need a sleek, minimalist logo that pairs my brand name with a simple abstract shape. The style must feel understated yet memorable so it works on garment tags, embroidery, social media, and retail packaging without losing clarity.

Scope
• Create one primary logo that combines text and an abstract icon.  
• Provide color and monochrome variants suitable for light and dark fabrics.  
• Supply files in AI, SVG, PDF, and high-resolution PNG with transparent background.  
• Include a brief one-page guide showing safe space, colors, and recommended font usage so manufacturers and digital teams can apply the mark consistently.

What I’m looking for
• Clean lines, balanced proportions, no unnecessary detail.  
• Typography...","['Adobe Illustrator', 'Branding', 'Graphic Design', 'Illustrator', 'Logo Design', 'Photoshop', 'Typography', 'Vector Design']"
15,Modern Logo for JL Designs,/contest/modern-logo-for-jl-designs-2647508,3 days left,$17,False,27 entries,False,"I’m ready to give my interior-design studio, JL Designs, a fresh visual identity built around a modern aesthetic. Clean lines, contemporary typography, and a balanced sense of space should lead the concept. I’m open on colour: feel free to propose neutral, bold, or even pastel palettes so long as they complement an upscale interior-design brand. Likewise, you may weave in subtle cues—think a furniture silhouette, an abstract shape, or a light architectural reference—but only if it reinforces the overall modern look; the logo must never feel busy.

What I need from you:

• A primary logo plus any logical variations (reversed, monochrome, icon-only).  
• Final artwork supplied in vector (AI/SVG) and web-ready PNG formats, with transparent and solid-backgroun...","['Adobe Illustrator', 'Branding', 'Graphic Design', 'Illustration', 'Illustrator', 'Logo Design', 'Typography', 'Vector Design']"
16,Comprehensive Household Services App Development -- 2,/projects/ai-chatbot/comprehensive-household-services-app,6 days left,$1223Avg Bid,True,99 bids,False,"Household Services App - Complete Specification
 1. Overview
 A digital platform connecting Customers, Admin, and Workers for household services:- Cleaning- Recycling / Transport- Gardening (mowing, snow removal)
 Features:- Automated price calculation (~20% below market)- Bidding system- Live worker location- Photo verification before/after- Payment and receipt handling- AI customer support
 2. Roles & Features
 Customer:- Submit service request (type, area, date, location)- Get estimated price & bid- Track job status and live location- Review photos & approve or dispute- Receive digital receipt & annual report- Use AI chat (escalation to admin if needed)
 Admin / Customer Service:- Approve final prices- Send counteroffers- Assign workers- Monitor job progress, images, pay...","['AI Chatbot', 'Android', 'Dart', 'Flutter', 'iPhone', 'Mobile App Development', 'Payment Processing', 'PHP']"
17,Excel-Based Project Management Tool,/projects/data-visualization/excel-based-project-management-tool,6 days left,$120Avg Bid,True,49 bids,False,"I’d like a streamlined project-management workbook built in Microsoft Excel that my team can open and start using immediately—no add-ins or macros that require special permissions. The core of the file should revolve around three connected sheets:

• Meeting log – columns for Meeting Name, Objective, Date & Time, Attendees, Key Notes, Agreed Next Steps and an automatic link to any action items you record in the activity sheet.

• Ongoing activities – a prioritized task tracker where every line carries a clear deadline, owner, current status, and a dropdown for Priority (High / Medium / Low). Conditional formatting should flag overdue items and visually separate each priority level.

• Summary dashboard – an at-a-glance hub driven by interact...","['Data Visualization', 'Excel', 'Excel Macros', 'Excel VBA', 'PHP', 'Project Management', 'Visual Basic', 'Visual Basic for Apps']"
18,Basic Commercial Building Design Plan,/projects/revit/basic-commercial-building-design-plan,6 days left,$142Avg Bid,True,59 bids,False,"I need a concise, well-thought-out concept design for a new commercial building. At this stage I only require a basic blueprint that shows:

• Overall floor layout (approximate dimensions and circulation)  
• One or two exterior elevation sketches that hint at the façade style  
• A brief written outline of structural assumptions and materials
An extract of the file for my own use 

Feel free to use AutoCAD, Revit, SketchUp or any other mainstream tool, as long as the final files come as both PDF for easy review and the original editable format.

Because the exact end-use (office, retail or mixed-use) is still being finalised, I’m open to your professional suggestions. Tell me how your concept can adapt to different tenant needs while remaining code-compliant.

...","['3D Modelling', 'AutoCAD', 'Building Architecture', 'Building Design', 'Design Optimization', 'Floor Plan', 'Interior Design', 'Project Management', 'Revit', 'SketchUp']"
19,Public Sector Email & LinkedIn Outreach,/projects/email-marketing/public-sector-email-linkedin-outreach,6 days left,$372Avg Bid,True,23 bids,True,"I’m preparing a focused lead-generation push aimed at decision-makers inside public sector organizations who buy external consultancy for government projects. To make the campaign resonate, I need an outreach specialist who is equally comfortable writing persuasive copy and setting up automated workflows on both email and LinkedIn.

Here’s what I’m looking for:

• A short, multi-touch email sequence (welcome, nurture, follow-up) ready to load into Mailchimp, Lemlist, HubSpot—or whichever platform you recommend.  
• Connection request and follow-up messages for LinkedIn that feel personal yet scalable, ideally supported by Sales Navigator targeting.  
• Advice on audience segmentation, list hygiene, and compliance so we reach the right public servants ...","['Automation', 'Content Strategy', 'Copywriting', 'CRM', 'Data Analysis', 'Email Campaign', 'Email Marketing', 'Lead Generation', 'SAP Master Data Governance']"
20,Professional Jewelry Photo Editing,/projects/image-processing/professional-jewelry-photo-editing,6 days left,$605Avg Bid,True,114 bids,False,"I need a skilled photo editor to enhance images of gems, jewelry, and precious goods. The original photos are in JPEG format.

Enhancements needed:
- Color correction
- Background removal
- Brightness/contrast adjustment
- Maintain good artistry and a natural look

Ideal skills and experience:
- Experience with jewelry and gem photography
- Proficiency in photo editing software (e.g., Photoshop)
- Strong eye for detail and color accuracy
- Ability to deliver high-quality, professional images","['Color Grading', 'Graphic Design', 'Image Processing', 'Photo Editing', 'Photoshop', 'Photoshop Design']"
21,Children's Book Digital Illustrator,/projects/digital-art/children-book-digital-illustrator,6 days left,$1719Avg Bid,True,113 bids,False,"I need a talented digital illustrator for a children's book. The illustrations should be vibrant, engaging, and suitable for captivating a young audience.

Key Requirements:
- Create imaginative and colorful digital illustrations
- Design characters, settings, and scenes that enhance the story
- Collaborate on revisions based on feedback
- Deliver high-resolution, print-ready artwork

Ideal Skills & Experience:
- Experience with children's book illustrations
- Proficiency in digital illustration tools (e.g., Adobe Illustrator, Procreate)
- Strong artistic skills and creativity
- Attention to detail and ability to meet deadlines

Please share your portfolio with relevant work. Looking forward to your proposals!","['Adobe Illustrator', 'Character Illustration', 'Digital Art', 'Illustration', 'Illustrator']"
22,Social Media Branding for Self-Help construction Business,/projects/branding/social-media-branding-for-self,6 days left,$79Avg Bid,True,97 bids,False,"I'm starting a self-help online construction business and need cohesive branding. 

Requirements:
- Social Media Assets for Facebook, Instagram, LinkedIn
  - Cover Photos
  - Post Templates

- Website Branding Assets including logo

Ideal Skills & Experience:
- Expertise in brand development
- Proficiency in graphic design
- Experience with social media platforms
- Strong portfolio in similar projects

Looking for a creative partner to help establish a strong, professional online presence.","['Branding', 'Content Creation', 'Digital Marketing', 'Facebook Marketing', 'Graphic Design', 'Logo Design', 'Photoshop', 'Social Media Management', 'Social Media Marketing', 'Web Design']"
23,WordPress Malware Cleanup & Restore,/projects/cpanel/wordpress-malware-cleanup-restore,6 days left,$167Avg Bid,True,117 bids,True,"My WordPress site was recently hacked and I have already located several web-shells and other malicious scripts scattered throughout the installation. I need the entire site cleaned and restored to its pre-attack state.

You will have everything required to work efficiently: full cPanel and WordPress admin credentials, plus a complete site backup taken before the compromise. I’d like you to:

• Identify every infected or suspicious file, remove the malware, and confirm no hidden backdoors remain.  
• Reinstate the clean copy of the site if needed, while preserving the latest legitimate content and user data.  
• Update WordPress core, themes, and plugins to current secure versions and harden typical entry points (wp-config, file permissions, .htaccess rules, etc.).  
&...","['Content Management System (CMS)', 'cPanel', 'MySQL', 'PHP', 'Web Security', 'WordPress']"
24,Need 12 Android Game Testers,/projects/game-testing/need-android-game-testers-39929589,6 days left,$7Avg Bid,True,4 bids,True,"I am preparing my puzzle game “Slide Snap” for its Google Play release and want a solid round of external quality assurance before I hit the publish button. I am looking for a pool of exactly twelve Android users who can commit to a full two-week test window, playing the latest internal build every day and sharing findings in near-real time.  

During those 14 consecutive days you will focus on three key areas: the core game mechanics (does each level behave as designed under varied play styles?), the overall user interface (clarity, responsiveness, mis-taps, layout issues on different screen sizes) and, most importantly, active bug identification with clear reproduction steps. All feedback will be collected through a shared Google Sheet and I will supply an APK plus access to ...","['Android', 'App Store Optimization', 'Game Development', 'Game Testing', 'Google Ads', 'Mobile App Development', 'Mobile App Testing', 'Regression Testing', 'Test Automation']"
25,Home Decor E-Commerce Website -- 2,/projects/woocommerce/home-decor-commerce-website,6 days left,$262Avg Bid,True,29 bids,False,"I’m launching a dedicated online store for my range of home-decor products and need a complete, ready-to-sell e-commerce website.

Scope
• Build a branded storefront that reflects a warm, modern aesthetic.  
• Set up a product catalogue with categories, search, cart and streamlined checkout.  
• Configure secure payment processing and basic inventory control.  
• Optimise for mobile, fast loading and on-page SEO.

Preferred Approach
WordPress + WooCommerce, Shopify or a comparable platform is fine—as long as I can add products, update content and track orders without touching code. Let me know which option you recommend and why.

Deliverables
1. Fully functional e-commerce site deployed to my domain/hosting (or Shopify store activated).  
2. Five sample prod...","['eCommerce', 'HTML', 'SEO', 'Shopify', 'Shopping Cart Integration', 'Web Development', 'Website Design', 'WooCommerce']"
26,Office Script Data Redesign,/projects/css/office-script-data-redesign,23 hours left,$130Avg Bid,True,16 bids,True,"I already have a working Office Script in Excel for the web, but I need to extend it with one key feature: show the processed data in a completely new, custom layout instead of the current default view.  

Here is what I’m looking for:  
• Review my existing TypeScript-based Office Script and understand its current flow.  
• Add the new logic that reshapes or re-orders the data exactly as I’ll outline. The first several rows of data are identical for most columns so there is no need to display them.  Instead the headers and the first row of data should be displayed so that they are always in view as you scroll down through the unique data.  
• Inject the layout directly in the worksheet so it renders automatically each time the script runs—no manual fo...","['Data Management', 'Data Processing', 'Data Visualization', 'Excel', 'Excel VBA']"
27,Classic Business Card Design Needed,/projects/adobe-illustrator/classic-business-card-design-needed-39929583,6 days left,$353Avg Bid,True,145 bids,False,"I’m ready to have a timeless, classic-style business card designed and laid out. The final card must clearly feature my name, job title, and full contact details; no other elements are required right now. Because I haven’t locked in a specific colour palette, feel free to recommend hues that complement a traditional look—subtle embossing or tasteful borders are welcome ideas, but not mandatory.

Please deliver:
• A print-ready PDF with bleed and crop marks
• An editable source file (AI, PSD or InDesign) so I can update details later
• A high-resolution preview image for quick sharing

Standard CMYK setup for professional printing is expected, and fonts should either be embedded or outlined. Turnaround within a few days would be ideal so I can send the card ...","['Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Business Card Design', 'Graphic Design', 'Illustrator', 'Photoshop', 'Print Design']"
28,"Company Sourcing in  Ang Thong Province, Thailand",/projects/photography/company-sourcing-ang-thong-province,6 days left,$12 - $18,False,0 bids,True,"Confirmis () is a Singapore-based business information provider specializing in connecting businesses with global capabilities; comprised of industry veterans, Confirmis's business model is designed to overcome perennial lack of data (let alone quality data) to support effective decision-making, particularly in developing economies.

As a Site Verifier, you will be responsible for verifying a company’s existence through visual data by conducting a site visit to ensure that we provide reliable and accurate information to our client.

JOB DESCRIPTION:
• Conduct basic verification with the subject company’s authorized representative, such as line of business, key executives' names, etc.
• Take pictures of the subject company and its vicinity per Confirmis&rsquo...","['Business Analysis', 'Inspections', 'Local Job', 'Photography', 'Travel Ready']"
29,Premium Pet Cologne Label Design,/projects/label-design/premium-pet-cologne-label-design,6 days left,$28Avg Bid,True,81 bids,True,"I need a sleek, 250 ml bottle label for a new pet cologne aimed at discerning dog and cat owners. The bottle is a standard clear PET cylinder (total height 212 mm, body height 158 mm, Ø 42 mm), so the artwork must wrap cleanly without warping key visuals.

Look & feel  
• Premium, minimalist, and natural, yet clearly upscale  
• Primary palette: black and orange for immediate shelf impact (no other accent colours unless a subtle neutral is needed for balance)  
• Freshness, care, and a hint of luxury should come through in both the graphics and typography; I’m open to any font family that complements the theme, though strong, legible sans-serif choices tend to work best.

Content priorities  
1. Prominent placement of the brand name  
2. Concise product-bene...","['Adobe Illustrator', 'Branding', 'Corporate Identity', 'Covers & Packaging', 'Graphic Design', 'Label Design', 'Logo Design', 'Packaging Design']"
30,Experienced WordPress Developer for Full Site Rebuild & SEO-Safe Migration,/projects/web-development/experienced-wordpress-developer-for-full,6 days left,$484Avg Bid,True,188 bids,True,"I’m ready to move an established website to fresh hosting while keeping every ounce of its current SEO value. The goal is a like-for-like rebuild—same look, same URLs—followed by a flawless migration so Google sees no hiccups and every visitor lands exactly where they expect.

Here’s the landscape you’d be walking into: the site already performs well in search, we actively track keywords in SEMrush, and there are only one or two custom functions we need to carry across. Everything else can run on well-maintained, standard plugins.

What I need from you is senior-level execution, not trial-and-error. I want daily check-ins, clear reasoning for each redirect rule, and evidence that the canonical setup passes a single 200 OK when tested in httpstatus.io.

Deliver...","['HTML', 'Nginx', 'PHP', 'SEMrush', 'SEO', 'Web Development', 'Web Hosting', 'WordPress', 'WordPress Design', 'WordPress Multilingual']"
31,Cross-Platform AR Camera Integration -- 2,/projects/mobile-app-development/cross-platform-camera-integration,6 days left,$13778Avg Bid,True,30 bids,False,"I already have fully-designed iOS and Android apps (Figma files are ready) and now need the camera module upgraded to true augmented-reality. The goal is to embed an AR camera that:

• Tracks faces in real time for overlay effects  
• Recognises predefined objects so we can trigger on-screen content  
• Understands the surrounding environment for stable placement of 3D elements  

Both the iOS and Android builds must receive the same feature set, so you will probably rely on ARKit for iOS, ARCore for Android, or a shared layer such as Unity or Vuforia if that speeds parity. Whichever route you choose, the finished work must sit cleanly inside the current codebase and respect the existing design spec in Figma.

Deliverables (within one month):
1. Integrated AR camera module f...","['Android', 'AR / VR 3D Asset', 'ARCore', 'ARKit', 'iPhone', 'Mobile App Development', 'Unity', 'Unity 3D']"
32,Product Data Integration Across Platforms,/projects/api-integration/product-data-integration-across,6 days left,$458Avg Bid,True,117 bids,True,"I keep my master product list inside CSV and Google Sheet files, and I need that data to flow smoothly into four separate systems—Shopify, Zoho Books, WordPress, and Sage Online (where I store promotional-product catalogs). The immediate priority is product data only; customer or order records can wait until a later phase.

Here’s what I’m looking for:

• Map every column in my CSV/Sheet to the correct fields in each platform, including variants, SKUs, pricing, descriptions and images.  
• Build or configure an automated pipeline (API calls, scheduled imports, or a connector you recommend) so updates made in the source sheet sync out to all four systems without manual work.  
• Validate the data on each import, flagging mismatches or missing values before t...","['API Integration', 'Data Management', 'Excel', 'Google Sheets', 'Shopify', 'WordPress']"
33,Hotel Broker for Virtual Tour Service,/projects/market-research/hotel-broker-for-virtual-tour,6 days left,$868Avg Bid,True,20 bids,False,"We are looking for a Hotel Broker to help us connect with hotels interested in our 360° virtual tour service. Our platform offers interactive virtual tours that enhance hotel visibility, drive guest engagement, and increase bookings by providing potential guests with an immersive online experience.

As a Hotel Broker, your role will involve identifying and reaching out to hotel owners or decision-makers, presenting the benefits of our service, and facilitating the introduction to our team for potential partnerships.

For every hotel you successfully connect that results in a milestone, you will earn $50. Additionally, you will receive 25% of the payment for each milestone step throughout the project.

The ideal candidate will have experience in the hotel industry, strong networking ski...","['Communications', 'Customer Service', 'Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'Instagram', 'Linkedin', 'Market Research', 'Sales Management']"
34,Vibrant Afro Barbers Poster & Card,/projects/poster-design/vibrant-afro-barbers-poster-card,6 days left,$110Avg Bid,True,161 bids,True,"I need a talented graphic designer to craft a cohesive set of marketing materials for my Afro barbers salon: an A5 poster and a matching business card. The overall look must feel modern and sleek while using a bright, vibrant color palette that instantly catches the eye.

Essential content to weave into both pieces:
• Business name and logo
• A concise list of our core services
• Clear contact details (phone, email, address, plus any booking link I provide)

Technical requirements:
• A5 poster at 300 dpi, CMYK, with 3 mm bleed and crop marks
• Standard 85 × 55 mm business card, front + back, same print-ready specs
• Final files supplied as print-ready PDF, layered PSD/AI, high-res PNG/JPEG, and an editable vector EPS so I can tweak text later if needed

...","['Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Photoshop', 'Business Card Design', 'Graphic Design', 'Photoshop', 'Poster Design', 'Print']"
35,Local SEM Lead Generation,/projects/digital-marketing/local-sem-lead-generation,6 days left,$9Avg Bid,True,2 bids,False,"I need a basic search-engine marketing push aimed at customers in my immediate territory. The priority is Google Ads: I want a tightly focused campaign that drives qualified clicks and turns them into enquiries or sales leads.

Scope  
• Keyword research and a concise ad group structure targeting my city and surrounding areas  
• Compelling ad copy written to match local intent  
• Conversion tracking set up (phone, form, or WhatsApp—whichever is quickest for us)  
• Brief performance report with next-step recommendations

Results I’m after: a steady flow of measurable leads, not just impressions or generic traffic. If this starter run performs, I’m open to expanding onto Facebook and Instagram later.

Please include examples of past work on similar sm...","['Digital Marketing', 'Google Ads', 'Google Adwords', 'Internet Marketing', 'Keyword Research', 'Marketing', 'Search Engine Marketing', 'SEO']"
36,Polished Reels Video Editing,/projects/av-editing/polished-reels-video-editing,6 days left,$10 / hrAvg Bid,True,5 bids,False,"I have a batch of Instagram-style reels that need a clean, professional touch. Each clip should flow smoothly, keep viewers engaged, and reflect a polished brand aesthetic rather than a trendy jump-cut feel. I already have the raw footage; what I need is your skill in CapCut or Adobe Premiere Pro to transform it into scroll-stopping content.

Here’s what the finished reels must include:  
• Subtitles that are accurate, well-timed, and easy to read  
• Seamless transitions that maintain momentum without feeling flashy  
• Royalty-free background music mixed to the right levels so dialogue remains clear  

Most reels sit between 30-60 seconds, and I’ll provide reference examples to match tone and pacing. Once you send back a first draft, I’ll give concise tim...","['A/V editing', 'Adobe Premiere Pro', 'After Effects', 'CapCut', 'Video Editing', 'Video Post-editing', 'Video Production', 'Video Services']"
37,SEO Content Writing for E-commerce Products,/projects/seo-writing/seo-content-writing-for-commerce,6 days left,$52Avg Bid,True,11 bids,False,"Write 200 SEO-Optimized Product Listings for  (CCTV, Laptops & Networking Devices)

Job Description:

We are looking for an experienced E-commerce SEO Content Writer to create and optimise 200 product listings for our online store 
.

The website sells CCTV cameras, NVR/DVR systems, laptops, and networking devices from brands such as Hikvision, CP Plus, Dahua, Prama, TP-Link, Intel, Lenovo, and Asus.

The task involves writing SEO-friendly titles, meta descriptions, keywords, and 900+ character product descriptions that improve organic rankings and traffic.

Responsibilities:

Write and optimize 200 product listings (titles, meta descriptions, and product content).

Research and apply relevant keywords for each product.

Use H1, H2, and H3 tags correctly within descriptions.

Ensure ke...","['Article Writing', 'Content Writing', 'Copywriting', 'Keyword Research', 'Product Descriptions', 'SEO', 'SEO Auditing', 'SEO Writing', 'WooCommerce', 'WordPress']"
