,title,job_link,days,price,average_bid,bid,payment_verified,description,job_tag
10,Realistic Graduation Art,/projects/digital-art/realistic-graduation-art,6 days left,$94Avg Bid,True,80 bids,True,"I'm looking for a piece of realistic digital art as a gift for my girlfriend. The artwork should depict her graduating, with her 2 dogs looking down from heaven, with angel halos over the 2 dogs heads. The background should be a mix of the artists choice for a good location for graduation photos and heavenly clouds. Attached are reference images of my girlfriend and both dogs.

Ideal Skills and Experience:
- Proficiency in realistic digital art
- Experience with complex backgrounds 
- Ability to portray emotions and themes effectively

Please share your portfolio and relevant experience.","['2D Drawing', '2D Layout', 'Art Consulting', 'Caricature & Cartoons', 'Character Illustration', 'Digital Art', 'Graphic Design', 'Illustration', 'Illustrator', 'Photoshop']"
11,Local Web Marketing Freelancer for SEO and Social Media Campaigns,/projects/internet-marketing/local-web-marketing-freelancer-for,6 days left,$201Avg Bid,True,35 bids,False,"I am looking for a local web marketing freelancer to help increase brand awareness and drive conversions for my website. The focus will be on:

- SEO optimization to improve search engine rankings.
- Creating and managing social media campaigns to boost engagement and visibility.

Ideal candidates should have experience in both SEO and social media marketing, with a proven track record of delivering results.","['Internet Marketing', 'Link Building', 'Marketing', 'SEO', 'Social Media Marketing']"
12,Career Curriculum PowerPoint Creation,/projects/chatgpt/career-curriculum-powerpoint-creation,6 days left,$78Avg Bid,True,47 bids,True,"You will receive fifteen research-based topic papers for a university-level Career Development Curriculum. Alongside those documents you will receive a ready-made ChatGPT prompt, an example deck, and explicit formatting guidelines that cover headings, body text, and slide layout.  

Your task is purely operational: feed each research paper into ChatGPT with the prompt exactly as supplied, let the model generate a full presentation (or the presentation content before generating a final ppt file), then polish the output so every slide follows my minimalistic, clean theme and the formatting rules. Each topic becomes a standalone deck that contains its own internal modules; the section arrangement can vary as the subject matter dictates, so you will need to double-check that no content is lost...","['Academic Writing', 'ChatGPT', 'Content Development', 'Copywriting', 'Editing', 'Powerpoint', 'Project Management', 'Research Writing', 'Visual Design', 'Word']"
13,Spanish-speaking Editor for Subtitle Corrections,/projects/editing/spanish-speaking-editor-for-subtitle,6 days left,$17 / hrAvg Bid,True,15 bids,False,"We are seeking a detail-oriented Spanish-speaking editor to correct subtitles on animations. The task involves addressing spelling and timing issues to ensure accuracy and clarity. The translations and subtitles have already been completed but this is correcting and proofing them for us.

Deliverables
Correct spelling errors in subtitles
Adjust timing of subtitles for synchronization
Ensure subtitles match audio accurately
Full adobe premiere capabilities to make amends themselves","['Adobe Premiere Pro', 'After Effects', 'Audio Services', 'Editing', 'Proofreading', 'Spanish Translator', 'Translation', 'Video Editing']"
14,Wix Business Site Development,/projects/wix/wix-business-site-development,6 days left,$532Avg Bid,True,32 bids,False,"I’m rebuilding my company’s online presence on Wix and need someone who knows the platform inside-out to turn my draft layout into a polished business site. The core pages are straightforward—About Us, Services, and Contact Us—but I want them to feel cohesive, mobile-friendly, and on brand.

Two custom elements must be baked in from the start: an inquiry form that routes messages to our support email and a simple subscription form that feeds directly into our Mailchimp list. If you prefer Wix’s native automations, that works too as long as the data ends up in the right place.

I’ll supply the logo, color palette, and any copy you need; you handle page structure, visual tweaks, and form integrations. Please be comfortable working within the standard Wix e...","['CSS', 'HTML', 'Mailchimp', 'PHP', 'Web Design', 'Web Development', 'Website Design', 'Wix']"
15,Residential Architectural Design for Uni Assignment,/projects/google-sketchup/residential-architectural-design-for-uni,6 days left,$120Avg Bid,True,48 bids,False,"I need an architectural design for a residential construction project as part of my university assignment. 

Using a photographic image of your chosen domestic property which will be included within your technical drawing for reference purposes and be  clearly marked to indicate where the section is taken through, create one A3 scale (Part) sectional drawing and three larger details (foundations / ground floor, first floor junction with external wall and eaves detail) to demonstrate your knowledge and understanding of the exterior construction of a low-rise domestic property. This is to then be uploaded as a single A3 PDF document. 

The external Part section of the property is to include well annotated details of the following construction elements:

Foundations and Ground floor slab
Exte...","['3D Design', '3D Rendering', 'Architecture', 'AutoCAD', 'Building Architecture', 'Building Design', 'Building Engineering', 'Home Design', 'Interior Design', 'SketchUp']"
16,no law ( new art ) now,/projects/adobe-creative-cloud/law-new-art-now,6 days left,$96Avg Bid,True,26 bids,False,"I’m putting together a set of fresh visuals to post across my social channels and need an artist who can create original digital art that pops in a feed. The work will be used solely for social media, so eye-catching color, strong composition, and scroll-stopping detail are important.  

You’ll have creative freedom on style—I didn’t lock myself into realistic, cartoonish, or abstract—so feel free to pitch what you think will resonate best once you’ve heard more about the concept. I’ll share reference images, the overall theme, and the preferred dimensions for each platform after we connect.  

Deliverables (per artwork):  
• Final image optimized for Instagram, Facebook, and X (formerly Twitter)  
• A high-resolution master file (PSD or ...","['Adobe Creative Cloud', 'Adobe Photoshop', 'Digital Art', 'Graphic Design', 'Illustration', 'Illustrator', 'Photography', 'Photoshop', 'Social Media Marketing', 'Visual Arts']"
17,Abstract Gaming Profile Picture,/contest/abstract-gaming-profile-picture-2658894,9 days left,$100,False,13 entries,False,"I'm seeking an abstract profile picture for my gaming account. The artwork should be dark and moody, fitting the aesthetic of my gaming persona. 

Ideal Skills and Experience:
- Proficiency in creating abstract art
- Experience with dark and moody color palettes
- Ability to design engaging and unique gaming profile pictures

Please provide samples of previous abstract work.

Okay so i sent some official games workshop art as well as a sketch i made, i suck so i uh ya , basically think  just want a still simple, but better version of what i made. I really don't know if i want the skull symbol with the gear and chain or like just the skull. The only thing i actually care about with it is that there is an A then and S either carved or implanted or whatevered into the skulls forehea...","['2D Drawing', '2D Game Art', 'Abstract', 'Art Consulting', 'Art Installation', 'Digital Art', 'Graphic Design', 'Illustration', 'Logo Design', 'Photoshop']"
18,,/login?goto=ZmZmNGE1OGUzZjVhMWI2Y2I2YWM4MDIzYmMwNDU3YzhodHRwczovL3d3dy5mcmVlbGFuY2VyLnBrL3Byb2plY3RzL2FnaWxlLWRldmVsb3BtZW50L2N1c3RvbS1hcHAtZGV2ZWxvcG1lbnQtbmVlZGVk,6 days left,,False,,False,PleaseSign UporLoginto see details.,"['Agile Development', 'App Development', 'Full Stack Development', 'iPhone', 'Java', 'Mobile App Development', 'PHP', 'Web Development']"
19,"Google Profile Setup for ""Dental Contractor """,/projects/digital-marketing/google-profile-setup-for-dental,6 days left,$89Avg Bid,True,27 bids,True,"Create and activate a Google Business Profile for my dental building construction company serving the Greater Toronto Area. The profile must follow every Google guideline, pass verification, and be fully discoverable by local clients searching for our services.

The service that needs special emphasis inside the listing is “Google Business Profile”—please display it prominently in the services section so visitors immediately see our expertise there.

Once live, the page should contain complete and accurate business information, a concise description of what we do, up-to-date operating hours, contact details, and our GTA office address. Upload high-quality photos that showcase recent projects and assign the most relevant categories to improve visibility in local search and...","['Digital Marketing', 'Marketing']"
20,yamon Project,/projects/3d-modelling/yamon-project,6 days left,$35 / hrAvg Bid,True,34 bids,False,"I’m assembling a small team to design and build a realistic car-focused game from the ground up. The end product must run smoothly on PC, Android / iOS devices, and the current-generation PlayStation and Xbox consoles.  

Vision and core requirements  
• Gameplay: authentic driving physics, rich city and highway environments, single-player progression with room to expand into online modes later.  
• Visual style: a hybrid approach—3D cars, tracks, and environments, paired with crisp 2D elements for the UI, menus, and cut-scene overlays.  
• Tools & tech: I’m open to Unity, Unreal Engine, or another engine you can justify for multi-platform deployment; please outline your preferred pipeline for asset creation, version control, and performance optimisatio...","['3D Modelling', 'AI Development', 'Android', 'Game Design', 'Game Development', 'iPhone', 'Mobile App Development', 'Unity', 'Unity 3D', 'Unreal Engine']"
21,Shipping Label Software Development,/projects/dot-net/shipping-label-software-development,23 hours left,$288 - $865,False,109 bids,True,"I'm looking for a developer to create shipping label software for a delivery company. The software needs to be web-based and compatible with Windows.

Key features required:
- Label design customization
- Database build and export of all labels printed since last export
- User (customer/sender) logs in via a weblink
- Accessible to both customers and employees

Ideal skills and experience:
- Strong background in web development
- Experience with database management
- Familiarity with label design tools
- Ability to create user-friendly interfaces for both customers and employees

Please provide examples of similar projects you've completed and your approach to ensure a secure and efficient platform. Thank you!","['.NET', 'Database Management', 'Label Design', 'MySQL', 'PHP', 'Software Architecture', 'Software Development', 'Web Development']"
22,WatchGuard Policy Configuration,/projects/computer-security/watchguard-policy-configuration,23 hours left,$147Avg Bid,True,8 bids,True,"I need an experienced WatchGuard engineer to configure my Watchguard M270 for Acrobits Push Notification Service (SIPIS) to work with Cloud Softphone. I belive this will involve creating two sets of filewall rules. 
I have all the required information needed to program the rules.","['Computer Security', 'Network Administration', 'Network Engineering', 'Network Monitoring', 'Network Security']"
23,YouTube Thumbnail Design Variants,/projects/adobe-creative-cloud/youtube-thumbnail-design-variants,6 days left,$13Avg Bid,True,39 bids,True,"Looking some one to design our YouTube Chanel thumbnail. Should be able to deliver at least 3 variants. two

Scope and deliverables  
• Three unique thumbnail mock-ups (1280 × 720, 16:9, under 2 MB each)  
• Final files supplied as both layered PSD/AI (so I can tweak text later) and export-ready PNG/JPG versions  
• Clear, bold text that remains legible on mobile  
• Royalty-free imagery or graphics only

I’m working with a modest $10 budget, so efficiency is key, yet I still value professional polish. If you can turn around initial drafts within next 2-3 hours, even better.","['Adobe Creative Cloud', 'Adobe Illustrator', 'Adobe Photoshop', 'Design', 'Graphic Design', 'Illustrator', 'Photoshop', 'Photoshop Design']"
24,SharePoint Policy Acknowledgment Site,/projects/web-development/sharepoint-policy-acknowledgment-site,6 days left,$54Avg Bid,True,10 bids,False,"I need a Communication site on SharePoint for employees to acknowledge policies. The site should include:

- Policy acknowledgment forms
- Document repository
- Announcement board

Access control with different levels is required. 

Ideal skills and experience:
- Proficient in SharePoint, especially Communication sites
- Experience with forms and access control setup
- Strong attention to detail and organization","['Content Management System (CMS)', 'HTML', 'Microsoft 365', 'PHP', 'Project Management', 'Sharepoint', 'Web Development', 'Website Design']"
25,B2B Growth Marketer Needed: Acquire Subscription Employers for Remote Job Platform (Harrydesk.com),/projects/b2b-marketing/growth-marketer-needed-acquire,6 days left,$65Avg Bid,True,5 bids,False,"Objective:
We are seeking an experienced B2B marketer, business development freelancer, or agency to help grow  by attracting and onboarding genuine employers who will purchase a subscription and consistently post remote jobs.

Your Role:

Develop and execute outreach campaigns to recruit businesses actively hiring for remote roles.

Focus only on employers who purchase a paid subscription through  and commit to posting remote jobs regularly.

Identify and target HR managers, recruitment agencies, startup founders, and SMBs most likely to benefit from our remote hiring solutions.

Build and nurture relationships to convert prospects into active, paying employer clients.

Collaborate on messaging, landing pages, and value proposition to increase conversion.

Track and report key metrics: em...","['Analytics', 'B2B Marketing', 'Content Marketing', 'Conversion Rate Optimization', 'Digital Marketing', 'Email Marketing', 'Lead Generation', 'PPC Marketing', 'SEO', 'Social Media Marketing']"
26,Accurate Data Entry into Software,/projects/data-management/accurate-data-entry-into-software,6 days left,$17 / hrAvg Bid,True,24 bids,False,"I need help with a straightforward yet detail-oriented data entry task. All source material—PDFs, images, and plain text files—has already been gathered; your job is to transfer every record into the proprietary software I will give you access to.  

Accuracy is everything here. I will supply written guidelines that show exactly where each field belongs and how to handle any ambiguities. A single typo can throw off later reporting, so I expect close attention to spelling, dates, and numeric values. Basic familiarity with Excel is useful for quick cross-checks, but all final input must be done inside the specified system.

Turnaround matters as much as precision. Once you confirm receipt of the files, we will agree on a deadline and a short progress milestone so I can verify the...","['Data Analysis', 'Data Cleansing', 'Data Entry', 'Data Extraction', 'Data Management', 'Data Processing', 'Excel', 'Visual Basic']"
27,Elganza Shopify Redesign and Optimization,/projects/web-design/elganza-shopify-redesign-optimization,6 days left,$251Avg Bid,True,15 bids,False,"I’m ready to give our Elganza Shopify store a fresh, modern-minimalist face lift so visitors can find what they need quickly and enjoy a seamless journey from landing page to checkout. My number-one objective is to improve user experience, with particular attention to navigation flow and on-page layout.

Here’s what I need from you:
• A clean, modern-minimalist theme rework (or custom child theme) that feels light yet refined  
• A reorganised, intuitive main menu and collection structure that reduces clicks to product discovery  
• Redesigned page layouts—home, collection, product, and cart—implemented directly in Shopify (Liquid, HTML/CSS, JS)  
• Mobile responsiveness maintained throughout, ensuring the new navigation feels just as smooth on s...","['Adobe XD', 'CSS', 'Figma', 'HTML', 'JavaScript', 'Shopify Templates', 'Web Design', 'Website Design']"
28,Engaging PowerPoint Presentation Design,/projects/visual-design/engaging-powerpoint-presentation-design,6 days left,$31Avg Bid,True,71 bids,True,"I’m looking for a designer who can turn my raw material into a polished PowerPoint deck that looks as good as it communicates. The exact slide count and purpose will firm up once we speak, but the goal is the same throughout: clear storytelling supported by clean, on-brand visuals. I’ll supply the written content, any existing imagery, and guidelines I have; you’ll translate that into a cohesive flow, refine the layout, and apply thoughtful typography, colour, and iconography so every slide feels intentional rather than templated.

If you’re comfortable structuring information, choosing or creating graphics that fit the narrative, and working iteratively through quick feedback rounds, then let’s talk timing and next steps.","['Adobe Creative Suite', 'Adobe Illustrator', 'Adobe InDesign', 'Brochure Design', 'Graphic Design', 'Powerpoint', 'Typography', 'Visual Design']"
29,Fabric Sectional 4 seater and 3 seater Sofa Sourcing China,/projects/sourcing/fabric-sectional-seater-seater-sofa,6 days left,$3000 - $5000,False,0 bids,False,"I need help purchasing a high-quality fabric sectional sofa directly from a Chinese manufacturer and having it delivered to Dubai. My priorities are:

• Finding two-to-three reputable factories that already build sectional models matching mainstream U-shape or L-shape dimensions and styles.  
• Verifying that the fabric options meet durability and color-fastness standards.  
• Negotiating the best ex-works or FOB price, securing sample photos or a physical swatch, and arranging a third-party inspection before the order leaves the factory.  
• Handling all paperwork (PI, packing list, invoice), booking freight, and confirming the final shipping schedule so the sofa is in transit without delay.

If you already have on-the-ground contacts in furniture hubs such as Foshan o...","['Contract Management', 'Import/Export', 'Logistics', 'Manufacturing', 'Market Research', 'Procurement', 'Sourcing', 'Supplier Sourcing', 'Supply Chain']"
30,Dynamic QR Code-Based Market Research Platform,/projects/web-development/dynamic-code-based-market-research,6 days left,$358Avg Bid,True,108 bids,True,"We aim  to bridge the gap between consumer packaged goods (CPG) companies and office workers by creating a data-driven platform for product sampling and feedback collection. By connecting CPG companies with target consumers in office environments, Test Marketing will gather valuable insights while providing product trials to employees and incentivizing participation through rewards.
To do this , I beleive i would need as below- with a 2- 3 page website to attract customers and offices with my services offered.
QR Code Generation
To create a dynamic QR code that can be updated as products change:
1. Use a URL Shortening Service: Register a custom URL with a QR code generator that allows dynamic updates. This way, the QR code can lead to a webpage with the current feedback form.
2. Feedback ...","['Analytics', 'Data Analysis', 'Market Research', 'QR Code Making', 'User Experience Research', 'Web Application', 'Web Development', 'Website Design', 'Website Management']"
31,WPForms Custom Code for Sequential ID & Login,/projects/database-management/wpforms-custom-code-for-sequential,6 days left,$130Avg Bid,True,59 bids,False,"Hiring: WordPress Developer for WPForms Custom Coding (Sequential Entry ID and Login Restriction)

I am seeking an experienced WordPress developer with strong PHP and WPForms customization skills to implement custom functionality on an existing site.

Project Requirements (Technical Details Included)
1. Add a 4-Digit Sequential ID to Each WPForms Submission

I need custom code that will:

Generate a unique 4-digit sequential number (example: 0001 → 0002 → 0003, continuing indefinitely).

Store the number as a custom entry meta field using WPForms hooks.

Ensure the numbering continues even if entries are deleted.

Ensure persistence across caching, backups, or server restarts.

Preferred approach:

Use the WordPress Options API (get_option(), update_option()) or a dedicated, ligh...","['Database Management', 'HTML', 'MySQL', 'PHP', 'Software Development', 'Web Development', 'Website Optimization', 'WordPress']"
32,Software Launch Branding Video,/projects/video-services/software-launch-branding-video,6 days left,$187Avg Bid,True,3 bids,False,"I need a concise, high-impact branding video that will introduce our new software solution startup and electronic store to the market. The piece must feel professional and informative from the first frame to the last, clearly articulating what the product does and why it matters to forward-thinking enterprises.

Here is what matters most:  
• Story: a tight script or storyboard that communicates the different IT services we offer , and a clear call-to-action—all in an engaging, business-centric tone.  
• Look & feel: sleek motion graphics, clean typography, and a modern colour palette that fits an ultra-tech aesthetic.  
• Runtime & formats: short enough to hold attention on LinkedIn and our website hero section, delivered in 16:9 Full HD (plus square and verti...","['Adobe Premiere Pro', 'After Effects', 'Animation', 'Audio Editing', 'Branding', 'Motion Graphics', 'Script Writing', 'Video Editing', 'Video Production', 'Video Services']"
33,Dynamic TP/SL Movement Developer for Trading Bot in Python,/projects/api/dynamic-movement-developer-for-trading,6 days left,$29Avg Bid,True,18 bids,False,"I am looking for an experienced developer who can implement dynamic TP and SL movement for my trading bot.

The bot is built in Python and executes trades based on alerts coming from TradingView. TradingView sends JSON data through a webhook, and the bot opens a position with an entry price, one TP and one SL. Now I need to upgrade the system so the bot can automatically move the stop-loss as different Take Profit levels are reached.

What I need:

When a long position is opened, the bot sets ENTRY, TP1 and SL1.

When the price reaches TP1, TradingView sends a new alert. Based on this alert, the bot must automatically move the stop-loss to a level just below TP1 (with a configurable offset).

When the price reaches TP2, the bot must again move the SL, this time just below TP2.

The same lo...","['API', 'Binance', 'Financial APIs', 'JavaScript', 'JSON', 'Market Analysis', 'PHP', 'Python', 'Risk Management', 'Software Architecture']"
34,Mobile App Development Needed,/projects/mobile-app-development/mobile-app-development-needed-39998186,6 days left,$469Avg Bid,True,28 bids,False,"I have an idea for a new mobile application and I need an experienced developer to transform that concept into a polished, store-ready product. At this stage I’m open to your recommendations on the most suitable tech stack, architecture, and release strategy—the key requirement is that the end result feels fast, stable, and intuitive for users.

You will lead the build from initial planning through to submission. This includes setting up the project structure, coding the front-end and any necessary back-end or API integrations, implementing analytics, handling basic QA, and guiding me through the deployment process. I already have some feature sketches and user flows, so we can move quickly into a sprint-based workflow once we connect.

To help me gauge fit, please attach links...","['Android', 'API Development', 'App Design', 'App Development', 'Backend Development', 'Frontend Development', 'iOS Development', 'Mobile App Development']"
35,Modern Interior Mood Board,/projects/google-sketchup/modern-interior-mood-board,6 days left,$27Avg Bid,True,27 bids,False,"I am looking for an interior designer (not just a graphic artist) to do a kitchen refresh. This is for furnishings only, backsplash, island and table lighting, breakfast area table and chairs, bar stools, and accessories, including decor that might help to fill space between top of cabinets and ceiling.","['3D Design', '3D Modelling', '3D Rendering', '3D Visualization', 'Creative Design', 'Graphic Design', 'Interior Design', 'Lighting Design', 'SketchUp', 'Visual Design']"
36,Automated Stock Management Excel Tool,/projects/data-management/automated-stock-management-excel-tool,6 days left,$28Avg Bid,True,5 bids,False,"I need a comprehensive stock management Excel sheet that operates automatically for stock updates and dispatch tracking.

Key Features:
- Automatic stock level updates
- Dispatch tracking
- Stock alerts

Data Input:
- Data will be entered manually.

Categorization:
- Stock needs to be categorized by product type.

Ideal skills and experience:
- Advanced Excel proficiency
- Experience in creating automated Excel tools
- Knowledge of stock management processes

Looking for someone who can ensure accuracy and efficiency in stock management.","['Automation', 'Data Management', 'Data Processing', 'Excel', 'Excel Macros', 'Excel VBA', 'Software Architecture', 'Visual Basic']"
37,Mystery Christian Apparel Teaser,/projects/motion-graphics/mystery-christian-apparel-teaser,6 days left,$350Avg Bid,True,1 bids,False,"I’m gearing up to launch my new Christian apparel store online and I want a short, hype-filled teaser that leaves people begging for a closer look. The clip needs to feel mysterious—show hints of fabric, stitching, tags, or a quick flash of a sleeve—but never reveal an entire piece.  

Here’s what matters most to me:  
• My logo and brand colours should appear prominently without overpowering the visuals.  
• Sneak-peek shots must be artfully framed, fast-cut, and set to an adrenaline-pumping soundtrack that lifts viewers’ expectations.  
• Close with a clean “Coming Soon” frame featuring my handle and site address.  

I’ll provide logo files, colour palette, and still images of the apparel. You bring the editing magic—mo...","['Adobe Premiere Pro', 'After Effects', 'Animation', 'Graphic Design', 'Motion Graphics', 'Social Media Marketing', 'Sound Design', 'Video Editing', 'Video Production', 'Videography']"
38,Silicone Rubber Mould STEP Design,/projects/3d-cad/silicone-rubber-mould-step-design,6 days left,$33Avg Bid,True,22 bids,True,"I need a production-ready silicone rubber mold designed for a small consumer product—one cavity for each of the shapesper mould  in the files I’ll share after award. Each item is under 300 cm and carries fine, intricate details that must reproduce flawlessly, so the mold layout has to favor a crisp surface finish while also standing up to multiple casting cycles.

Here’s what I’m looking for:

• A complete 3D mold  delivered as a single, workable STEP file that can go straight to tooling design and injection moulding 
• Draft, fillets and any relief cuts you judge necessary to protect those detailed areas from tearing during demold.

I’ll supply the original model files and any critical dimensions the moment we start. You can work in SolidWorks, Fusi...","['3D CAD', '3D Design', '3D Modelling', '3D Printing', 'CAD/CAM', 'Fusion 360', 'Manufacturing Design', 'Product Design', 'Prototyping', 'Solidworks']"
